OBJECTID,Short_Name,Full_Name
952,B08301m14,MEANS OF TRANSPORTATION TO WORK: Public transportation (excluding taxicab): Railroad: Workers 16 years and over -- (Margin of Error)
953,B08301e15,MEANS OF TRANSPORTATION TO WORK: Public transportation (excluding taxicab): Ferryboat: Workers 16 years and over -- (Estimate)
954,B08301m15,MEANS OF TRANSPORTATION TO WORK: Public transportation (excluding taxicab): Ferryboat: Workers 16 years and over -- (Margin of Error)
955,B08301e16,MEANS OF TRANSPORTATION TO WORK: Taxicab: Workers 16 years and over -- (Estimate)
956,B08301m16,MEANS OF TRANSPORTATION TO WORK: Taxicab: Workers 16 years and over -- (Margin of Error)
957,B08301e17,MEANS OF TRANSPORTATION TO WORK: Motorcycle: Workers 16 years and over -- (Estimate)
958,B08301m17,MEANS OF TRANSPORTATION TO WORK: Motorcycle: Workers 16 years and over -- (Margin of Error)
959,B08301e18,MEANS OF TRANSPORTATION TO WORK: Bicycle: Workers 16 years and over -- (Estimate)
960,B08301m18,MEANS OF TRANSPORTATION TO WORK: Bicycle: Workers 16 years and over -- (Margin of Error)
961,B08301e19,MEANS OF TRANSPORTATION TO WORK: Walked: Workers 16 years and over -- (Estimate)
962,B08301m19,MEANS OF TRANSPORTATION TO WORK: Walked: Workers 16 years and over -- (Margin of Error)
963,B08301e20,MEANS OF TRANSPORTATION TO WORK: Other means: Workers 16 years and over -- (Estimate)
964,B08301m20,MEANS OF TRANSPORTATION TO WORK: Other means: Workers 16 years and over -- (Margin of Error)
965,B08301e21,MEANS OF TRANSPORTATION TO WORK: Worked at home: Workers 16 years and over -- (Estimate)
966,B08301m21,MEANS OF TRANSPORTATION TO WORK: Worked at home: Workers 16 years and over -- (Margin of Error)
967,B08302e1,TIME LEAVING HOME TO GO TO WORK: Total: Workers 16 years and over who did not work at home -- (Estimate)
968,B08302m1,TIME LEAVING HOME TO GO TO WORK: Total: Workers 16 years and over who did not work at home -- (Margin of Error)
969,B08302e2,TIME LEAVING HOME TO GO TO WORK: 1200 a.m. to 459 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
970,B08302m2,TIME LEAVING HOME TO GO TO WORK: 1200 a.m. to 459 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
971,B08302e3,TIME LEAVING HOME TO GO TO WORK: 500 a.m. to 529 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
972,B08302m3,TIME LEAVING HOME TO GO TO WORK: 500 a.m. to 529 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
973,B08302e4,TIME LEAVING HOME TO GO TO WORK: 530 a.m. to 559 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
974,B08302m4,TIME LEAVING HOME TO GO TO WORK: 530 a.m. to 559 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
975,B08302e5,TIME LEAVING HOME TO GO TO WORK: 600 a.m. to 629 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
976,B08302m5,TIME LEAVING HOME TO GO TO WORK: 600 a.m. to 629 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
977,B08302e6,TIME LEAVING HOME TO GO TO WORK: 630 a.m. to 659 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
978,B08302m6,TIME LEAVING HOME TO GO TO WORK: 630 a.m. to 659 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
979,B08302e7,TIME LEAVING HOME TO GO TO WORK: 700 a.m. to 729 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
980,B08302m7,TIME LEAVING HOME TO GO TO WORK: 700 a.m. to 729 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
981,B08302e8,TIME LEAVING HOME TO GO TO WORK: 730 a.m. to 759 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
982,B08302m8,TIME LEAVING HOME TO GO TO WORK: 730 a.m. to 759 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
983,B08302e9,TIME LEAVING HOME TO GO TO WORK: 800 a.m. to 829 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
984,B08302m9,TIME LEAVING HOME TO GO TO WORK: 800 a.m. to 829 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
985,B08302e10,TIME LEAVING HOME TO GO TO WORK: 830 a.m. to 859 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
986,B08302m10,TIME LEAVING HOME TO GO TO WORK: 830 a.m. to 859 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
987,B08302e11,TIME LEAVING HOME TO GO TO WORK: 900 a.m. to 959 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
988,B08302m11,TIME LEAVING HOME TO GO TO WORK: 900 a.m. to 959 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
989,B08302e12,TIME LEAVING HOME TO GO TO WORK: 1000 a.m. to 1059 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
990,B08302m12,TIME LEAVING HOME TO GO TO WORK: 1000 a.m. to 1059 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
991,B08302e13,TIME LEAVING HOME TO GO TO WORK: 1100 a.m. to 1159 a.m.: Workers 16 years and over who did not work at home -- (Estimate)
992,B08302m13,TIME LEAVING HOME TO GO TO WORK: 1100 a.m. to 1159 a.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
993,B08302e14,TIME LEAVING HOME TO GO TO WORK: 1200 p.m. to 359 p.m.: Workers 16 years and over who did not work at home -- (Estimate)
994,B08302m14,TIME LEAVING HOME TO GO TO WORK: 1200 p.m. to 359 p.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
995,B08302e15,TIME LEAVING HOME TO GO TO WORK: 400 p.m. to 1159 p.m.: Workers 16 years and over who did not work at home -- (Estimate)
996,B08302m15,TIME LEAVING HOME TO GO TO WORK: 400 p.m. to 1159 p.m.: Workers 16 years and over who did not work at home -- (Margin of Error)
997,B08303e1,TRAVEL TIME TO WORK: Total: Workers 16 years and over who did not work at home -- (Estimate)
998,B08303m1,TRAVEL TIME TO WORK: Total: Workers 16 years and over who did not work at home -- (Margin of Error)
999,B08303e2,TRAVEL TIME TO WORK: Less than 5 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1000,B08303m2,TRAVEL TIME TO WORK: Less than 5 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1001,B08303e3,TRAVEL TIME TO WORK: 5 to 9 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1002,B08303m3,TRAVEL TIME TO WORK: 5 to 9 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1003,B08303e4,TRAVEL TIME TO WORK: 10 to 14 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1004,B08303m4,TRAVEL TIME TO WORK: 10 to 14 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1005,B08303e5,TRAVEL TIME TO WORK: 15 to 19 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1006,B08303m5,TRAVEL TIME TO WORK: 15 to 19 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1007,B08303e6,TRAVEL TIME TO WORK: 20 to 24 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1008,B08303m6,TRAVEL TIME TO WORK: 20 to 24 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1009,B08303e7,TRAVEL TIME TO WORK: 25 to 29 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1010,B08303m7,TRAVEL TIME TO WORK: 25 to 29 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1011,B08303e8,TRAVEL TIME TO WORK: 30 to 34 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1012,B08303m8,TRAVEL TIME TO WORK: 30 to 34 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1013,B08303e9,TRAVEL TIME TO WORK: 35 to 39 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1014,B08303m9,TRAVEL TIME TO WORK: 35 to 39 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1015,B08303e10,TRAVEL TIME TO WORK: 40 to 44 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1016,B08303m10,TRAVEL TIME TO WORK: 40 to 44 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1017,B08303e11,TRAVEL TIME TO WORK: 45 to 59 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1018,B08303m11,TRAVEL TIME TO WORK: 45 to 59 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1019,B08303e12,TRAVEL TIME TO WORK: 60 to 89 minutes: Workers 16 years and over who did not work at home -- (Estimate)
1020,B08303m12,TRAVEL TIME TO WORK: 60 to 89 minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1021,B08303e13,TRAVEL TIME TO WORK: 90 or more minutes: Workers 16 years and over who did not work at home -- (Estimate)
1022,B08303m13,TRAVEL TIME TO WORK: 90 or more minutes: Workers 16 years and over who did not work at home -- (Margin of Error)
1023,B09002e1,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: Total: Own children under 18 years -- (Estimate)
1024,B09002m1,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: Total: Own children under 18 years -- (Margin of Error)
1025,B09002e2,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: Own children under 18 years -- (Estimate)
1026,B09002m2,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: Own children under 18 years -- (Margin of Error)
1027,B09002e3,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: Under 3 years: Own children under 18 years -- (Estimate)
1028,B09002m3,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: Under 3 years: Own children under 18 years -- (Margin of Error)
1029,B09002e4,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: 3 and 4 years: Own children under 18 years -- (Estimate)
1030,B09002m4,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: 3 and 4 years: Own children under 18 years -- (Margin of Error)
1031,B09002e5,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: 5 years: Own children under 18 years -- (Estimate)
1032,B09002m5,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: 5 years: Own children under 18 years -- (Margin of Error)
1033,B09002e6,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: 6 to 11 years: Own children under 18 years -- (Estimate)
1034,B09002m6,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: 6 to 11 years: Own children under 18 years -- (Margin of Error)
1035,B09002e7,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: 12 to 17 years: Own children under 18 years -- (Estimate)
1036,B09002m7,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In married-couple families: 12 to 17 years: Own children under 18 years -- (Margin of Error)
1037,B09002e8,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Own children under 18 years -- (Estimate)
1038,B09002m8,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Own children under 18 years -- (Margin of Error)
1039,B09002e9,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: Own children under 18 years -- (Estimate)"
1040,B09002m9,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: Own children under 18 years -- (Margin of Error)"
1041,B09002e10,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: Under 3 years: Own children under 18 years -- (Estimate)"
1042,B09002m10,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: Under 3 years: Own children under 18 years -- (Margin of Error)"
1043,B09002e11,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: 3 and 4 years: Own children under 18 years -- (Estimate)"
1044,B09002m11,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: 3 and 4 years: Own children under 18 years -- (Margin of Error)"
1045,B09002e12,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: 5 years: Own children under 18 years -- (Estimate)"
1046,B09002m12,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: 5 years: Own children under 18 years -- (Margin of Error)"
1047,B09002e13,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: 6 to 11 years: Own children under 18 years -- (Estimate)"
1048,B09002m13,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: 6 to 11 years: Own children under 18 years -- (Margin of Error)"
1049,B09002e14,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: 12 to 17 years: Own children under 18 years -- (Estimate)"
1050,B09002m14,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Male householder, no wife present: 12 to 17 years: Own children under 18 years -- (Margin of Error)"
1051,B09002e15,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: Own children under 18 years -- (Estimate)"
1052,B09002m15,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: Own children under 18 years -- (Margin of Error)"
1053,B09002e16,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: Under 3 years: Own children under 18 years -- (Estimate)"
1054,B09002m16,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: Under 3 years: Own children under 18 years -- (Margin of Error)"
1055,B09002e17,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: 3 and 4 years: Own children under 18 years -- (Estimate)"
1056,B09002m17,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: 3 and 4 years: Own children under 18 years -- (Margin of Error)"
1057,B09002e18,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: 5 years: Own children under 18 years -- (Estimate)"
1058,B09002m18,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: 5 years: Own children under 18 years -- (Margin of Error)"
1059,B09002e19,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: 6 to 11 years: Own children under 18 years -- (Estimate)"
1060,B09002m19,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: 6 to 11 years: Own children under 18 years -- (Margin of Error)"
1061,B09002e20,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: 12 to 17 years: Own children under 18 years -- (Estimate)"
1062,B09002m20,"OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE: In other families: Female householder, no husband present: 12 to 17 years: Own children under 18 years -- (Margin of Error)"
1063,B09018e1,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Total: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Estimate)"
1064,B09018m1,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Total: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Margin of Error)"
1065,B09018e2,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Own child: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Estimate)"
1066,B09018m2,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Own child: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Margin of Error)"
1067,B09018e3,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Own child: Biological child: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Estimate)"
1068,B09018m3,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Own child: Biological child: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Margin of Error)"
1069,B09018e4,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Own child: Adopted child: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Estimate)"
1070,B09018m4,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Own child: Adopted child: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Margin of Error)"
1071,B09018e5,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Own child: Stepchild: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Estimate)"
1072,B09018m5,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Own child: Stepchild: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Margin of Error)"
1073,B09018e6,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Grandchild: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Estimate)"
1074,B09018m6,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Grandchild: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Margin of Error)"
1075,B09018e7,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Other relatives: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Estimate)"
1076,B09018m7,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Other relatives: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Margin of Error)"
1077,B09018e8,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Foster child or other unrelated child: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Estimate)"
1078,B09018m8,"RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS: Foster child or other unrelated child: Population under 18 years in households (excluding householders, spouses, and unmarried partners) -- (Margin of Error)"
1079,B09019e1,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: Total: Total population -- (Estimate)
1080,B09019m1,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: Total: Total population -- (Margin of Error)
1081,B09019e2,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: Total population -- (Estimate)
1082,B09019m2,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: Total population -- (Margin of Error)
1083,B09019e3,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Total population -- (Estimate)
1084,B09019m3,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Total population -- (Margin of Error)
1085,B09019e4,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Total population -- (Estimate)
1086,B09019m4,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Total population -- (Margin of Error)
1087,B09019e5,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Male: Total population -- (Estimate)
1088,B09019m5,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Male: Total population -- (Margin of Error)
1089,B09019e6,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Female: Total population -- (Estimate)
1090,B09019m6,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Householder: Female: Total population -- (Margin of Error)
1091,B09019e7,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Spouse: Total population -- (Estimate)
1092,B09019m7,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Spouse: Total population -- (Margin of Error)
1093,B09019e8,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Child: Total population -- (Estimate)
1094,B09019m8,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Child: Total population -- (Margin of Error)
1095,B09019e9,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Child: Biological child: Total population -- (Estimate)
1096,B09019m9,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Child: Biological child: Total population -- (Margin of Error)
1097,B09019e10,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Child: Adopted child: Total population -- (Estimate)
1098,B09019m10,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Child: Adopted child: Total population -- (Margin of Error)
1099,B09019e11,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Child: Stepchild: Total population -- (Estimate)
1100,B09019m11,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Child: Stepchild: Total population -- (Margin of Error)
1101,B09019e12,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Grandchild: Total population -- (Estimate)
1102,B09019m12,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Grandchild: Total population -- (Margin of Error)
1103,B09019e13,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Brother or sister: Total population -- (Estimate)
1104,B09019m13,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Brother or sister: Total population -- (Margin of Error)
1105,B09019e14,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Parent: Total population -- (Estimate)
1106,B09019m14,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Parent: Total population -- (Margin of Error)
1107,B09019e15,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Parent-in-law: Total population -- (Estimate)
1108,B09019m15,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Parent-in-law: Total population -- (Margin of Error)
1109,B09019e16,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Son-in-law or daughter-in-law: Total population -- (Estimate)
1110,B09019m16,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Son-in-law or daughter-in-law: Total population -- (Margin of Error)
1111,B09019e17,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Other relatives: Total population -- (Estimate)
1112,B09019m17,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Other relatives: Total population -- (Margin of Error)
1113,B09019e18,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Total population -- (Estimate)
1114,B09019m18,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Total population -- (Margin of Error)
1115,B09019e19,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Roomer or boarder: Total population -- (Estimate)
1116,B09019m19,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Roomer or boarder: Total population -- (Margin of Error)
1117,B09019e20,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Housemate or roommate: Total population -- (Estimate)
1118,B09019m20,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Housemate or roommate: Total population -- (Margin of Error)
1119,B09019e21,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Unmarried partner: Total population -- (Estimate)
1120,B09019m21,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Unmarried partner: Total population -- (Margin of Error)
1121,B09019e22,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Foster child: Total population -- (Estimate)
1122,B09019m22,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Foster child: Total population -- (Margin of Error)
1123,B09019e23,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Other nonrelatives: Total population -- (Estimate)
1124,B09019m23,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In family households: Nonrelatives: Other nonrelatives: Total population -- (Margin of Error)
1125,B09019e24,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Total population -- (Estimate)
1126,B09019m24,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Total population -- (Margin of Error)
1127,B09019e25,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Total population -- (Estimate)
1128,B09019m25,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Total population -- (Margin of Error)
1129,B09019e26,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Male: Total population -- (Estimate)
1130,B09019m26,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Male: Total population -- (Margin of Error)
1131,B09019e27,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Male: Living alone: Total population -- (Estimate)
1132,B09019m27,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Male: Living alone: Total population -- (Margin of Error)
1133,B09019e28,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Male: Not living alone: Total population -- (Estimate)
1134,B09019m28,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP: In households: In nonfamily households: Householder: Male: Not living alone: Total population -- (Margin of Error)
